,title,director,rating,airdate,season_number,episode_number,storyline,genres,cast,character
10,The North Remembers,['Alan Taylor'],8.8,Episode aired 1 April 2012,Season 2,Episode 1,"Winter is coming as the Night Watch go to meet the threat north of the Wall, the standoff between the Stark and the Lannisters boils with new rumors of King Joffrey's birthright and the rise of the Baratheon brothers in the warfare. All the while Dany leads her band of broken things through the dead lands barely hanging on. Trust...Joffrey will do whatever it takes to keep his crown.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Nikolaj Coster-Waldau', 'Michelle Fairley', 'Emilia Clarke', 'Aidan Gillen', 'Iain Glen', 'Kit Harington', 'Liam Cunningham', 'Isaac Hempstead Wright', 'Richard Madden', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'John Bradley']","['Tyrion Lannister', 'Cersei Lannister', 'Jaime Lannister', 'Catelyn Stark', 'Daenerys Targaryen', ""Petyr 'Littlefinger' Baelish"", 'Jorah Mormont', 'Jon Snow', 'Davos Seaworth', 'Bran Stark', 'Robb Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Samwell Tarly']"
11,The Night Lands,['Alan Taylor'],8.5,Episode aired 8 April 2012,Season 2,Episode 2,"In the wake of a bloody purge in the capital, Tyrion chastens Cersei for alienating the king's subjects. On the road north, Arya shares a secret with Gendry, a Night's Watch recruit. With supplies dwindling, one of Dany's scouts returns with news of their position. After nine years as a Stark ward, Theon Greyjoy reunites with his father Balon, who wants to restore the ancient Kingdom of the Iron Islands. Davos enlists Salladhor Saan, a pirate, to join forces with Stannis and Melisandre for a naval invasion of King's Landing.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Emilia Clarke', 'Aidan Gillen', 'Iain Glen', 'Kit Harington', 'Liam Cunningham', 'Alfie Allen', 'Maisie Williams', 'Stephen Dillane', 'Carice van Houten', 'Jerome Flynn', 'Conleth Hill', 'John Bradley', 'Sibel Kekilli']","['Tyrion Lannister', 'Cersei Lannister', 'Daenerys Targaryen', ""Petyr 'Littlefinger' Baelish"", 'Jorah Mormont', 'Jon Snow', 'Davos Seaworth', 'Theon Greyjoy', 'Arya Stark', 'Stannis Baratheon', 'Melisandre', 'Bronn', 'Lord Varys', 'Samwell Tarly', 'Shae']"
12,What Is Dead May Never Die,['Alik Sakharov'],8.8,Episode aired 15 April 2012,Season 2,Episode 3,"Jon is reprimanded for interfering with Craster and Sam has a gift for one of Craster's wives. In Winterfell, Bran continues to dream but begins to believe they are visions. Lady Catelyn approaches King Renly Baratheon to form an alliance with her son Robb. In the Iron Islands, Balon decides to attack the north while the Robb Stark's armies are in the south fighting the Lannisters. Theon is given the command of a ship while his sister Yara is put in command of a fleet of 30 ships. In King's Landing, Tyrion plays the council members against one another and learns the identity of the spy among them. He also wants to protect Shae from those who might try to find his weaknesses and she soon begins work as Sansa's new hand maiden. The King's guards return and Arya and Gendry are taken prisoner.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Michelle Fairley', 'Aidan Gillen', 'Kit Harington', 'Alfie Allen', 'Isaac Hempstead Wright', 'Sophie Turner', 'Maisie Williams', 'John Bradley', 'Natalie Dormer', 'James Cosmo', 'Jerome Flynn', 'Conleth Hill', 'Sibel Kekilli']","['Tyrion Lannister', 'Cersei Lannister', 'Catelyn Stark', ""Petyr 'Littlefinger' Baelish"", 'Jon Snow', 'Theon Greyjoy', 'Bran Stark', 'Sansa Stark', 'Arya Stark', 'Samwell Tarly', 'Margaery Tyrell', 'Jeor Mormont', 'Bronn', 'Lord Varys', 'Shae']"
13,Garden of Bones,['David Petrarca'],8.8,Episode aired 22 April 2012,Season 2,Episode 4,"Robb attacks a Lannister encampment and afterward meets Lady Talisa Maegyr who treats the wounded in the battlefield. Tyrion puts a stop to King Joffre's mistreatment of Sansa and also blackmails his cousin Lancel, Cersei's lover, into being his spy. Petyr Baelish visits King Renly but Catelyn is not pleased with his presence. He offers to help protect her daughters but a trade for Jaime is the only solution. Catelyn however tries to get Stannis and Renly to bury the hatchet and unite their forces. Davos Seaworth delivers Stannis' witch, Melisandre, to a remote cave where she gives birth. In the desert, one of Daenarys' riders returns with news that the elders of Qarth will receive them. Arya arrives at Harrenhal where one person is killed every day. Lord Tywin arrives unexpectedly and she is soon his cup bearer.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Michelle Fairley', 'Emilia Clarke', 'Aidan Gillen', 'Iain Glen', 'Charles Dance', 'Liam Cunningham', 'Jack Gleeson', 'Richard Madden', 'Sophie Turner', 'Maisie Williams', 'Stephen Dillane', 'Carice van Houten', 'Natalie Dormer', 'Jerome Flynn']","['Tyrion Lannister', 'Catelyn Stark', 'Daenerys Targaryen', ""Petyr 'Littlefinger' Baelish"", 'Jorah Mormont', 'Tywin Lannister', 'Davos Seaworth', 'Joffrey Baratheon', 'Robb Stark', 'Sansa Stark', 'Arya Stark', 'Stannis Baratheon', 'Melisandre', 'Margaery Tyrell', 'Bronn']"
14,The Ghost of Harrenhal,['David Petrarca'],8.8,Episode aired 29 April 2012,Season 2,Episode 5,"Catelyn and Renly come to an agreement and he agrees to join forces with Robb but witchcraft intervenes forcing her to flee with Brienne. As Stannis' fleet approaches Renly's camp, Petyr Baelish has advice for Margaery and her brother. At King's Landing, Cersei assures Tyrion that siege preparations are well under way and he learns the specifics from Lancel. In the Iron Islands Theon sets sail though has some difficulty gaining his crew's respect. Arya makes a deal with Jaqen H'ghar who promises her three lives in return for her having saved his. North of the Wall the Watchmen arrive at their camp. In Qarth, Daxos has gifts for Daenarys and has a proposition for her: access to his untold riches - and the Iron Throne - if he marries her. In Winterfell, Osha sees something in Bran's dreams.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Michelle Fairley', 'Emilia Clarke', 'Aidan Gillen', 'Iain Glen', 'Kit Harington', 'Charles Dance', 'Liam Cunningham', 'Alfie Allen', 'John Bradley', 'Isaac Hempstead Wright', 'Maisie Williams', 'Stephen Dillane', 'Natalie Dormer']","['Tyrion Lannister', 'Cersei Lannister', 'Catelyn Stark', 'Daenerys Targaryen', ""Petyr 'Littlefinger' Baelish"", 'Jorah Mormont', 'Jon Snow', 'Tywin Lannister', 'Davos Seaworth', 'Theon Greyjoy', 'Samwell Tarly', 'Bran Stark', 'Arya Stark', 'Stannis Baratheon', 'Margaery Tyrell']"
15,The Old Gods and the New,['David Nutter'],9.1,Episode aired 6 May 2012,Season 2,Episode 6,"In a surprise attack, Theon Greyjoy captures Winterfell demanding an oath of loyalty from everyone there in return for their lives. He is chastised however by the locals for turning on the family that raised him. The execution of a Stark family retainer shows just how serious Theon is. Robb Stark can't believe what's happened and swears to get his revenge. He is also growing fonder of Lady Talisa. At King's Landing, Tyrion knows better than most that war will devastate them and makes arrangements for Cersei's daughter, Myrcella, to be send away to marry. On returning to the palace after seeing her off, King Joffrey and others of the royal court learn exactly what the public thinks of them. North of the wall, Jon Snow and others are on patrol looking for wildlings. They kill a few but one of the survivors is an attractive young woman, Ygritte. At Harrenhall, Arya continues to work as Lord Tywin Lannister's cup bearer. She's taken aback however when a visitor from King's Landing - ...","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Michelle Fairley', 'Emilia Clarke', 'Aidan Gillen', 'Kit Harington', 'Charles Dance', 'Isaac Hempstead Wright', 'Richard Madden', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'Jack Gleeson', 'Sibel Kekilli', 'Rory McCann']","['Tyrion Lannister', 'Cersei Lannister', 'Catelyn Stark', 'Daenerys Targaryen', ""Petyr 'Littlefinger' Baelish"", 'Jon Snow', 'Tywin Lannister', 'Bran Stark', 'Robb Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Joffrey Baratheon', 'Shae', ""Sandor 'The Hound' Clegane""]"
16,A Man Without Honor,['David Nutter'],8.9,Episode aired 13 May 2012,Season 2,Episode 7,"At Winterfell, Osha arranges for Bran and his younger brother to escape. Theon is outraged and sets off after them but can't quite seem to find them. Osha improvises, as does Theon so as not to lose face. North of the Wall, Jon finds himself lost and separated from the other members of the Night's Watch. His prisoner, Ygritte, soon turns the tables on him. At Robb's camp, Jaime Lannister escapes but is soon recaptured. At Harrenhal, Tywin Lannister wants to find the assassin who struck so near to him. At King's Landing, Sansa has nightmares about her near rape but also begins to menstruate. Cersei has advice for her but the young woman is clearly worried about having to marry Joffrey. In Qarth, Daenerys meets with the ruling council and demands the return of her dragons.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Nikolaj Coster-Waldau', 'Michelle Fairley', 'Emilia Clarke', 'Iain Glen', 'Kit Harington', 'Charles Dance', 'Isaac Hempstead Wright', 'Richard Madden', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'Sibel Kekilli', 'Rory McCann']","['Tyrion Lannister', 'Cersei Lannister', 'Jaime Lannister', 'Catelyn Stark', 'Daenerys Targaryen', 'Jorah Mormont', 'Jon Snow', 'Tywin Lannister', 'Bran Stark', 'Robb Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Shae', ""Sandor 'The Hound' Clegane""]"
17,The Prince of Winterfell,['Alan Taylor'],8.8,Episode aired 20 May 2012,Season 2,Episode 8,"Theon's sister Yara arrives at Winterfell with reinforcements but he still can't seem to earn her respect. She tells him he was stupid to kill the Stark boys as they were valuable prisoners. Theon learns that his father wants him to return home. North of the Wall, Jon had been taken prisoner by wildlings. At Harrenhal, Arya identifies the last of the three lives Jaquen H'ghar promised her for saving him. Robb is dismayed at the deal his mother has made with Jamie Lannister and places her under arrest. Danerys refuses to leave Qarth without her dragons and decides to retrieve them from the House of the Undying. Stannis and his army approach King's Landing from the sea. Tyrion plans for the defense of the city but Cersei wants him to keep her son King Jeoffrey out of the fighting. He realizes that he must take steps to protect Shae.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Nikolaj Coster-Waldau', 'Michelle Fairley', 'Emilia Clarke', 'Iain Glen', 'Kit Harington', 'Charles Dance', 'Liam Cunningham', 'Jack Gleeson', 'Isaac Hempstead Wright', 'Richard Madden', 'Maisie Williams', 'Alfie Allen', 'John Bradley']","['Tyrion Lannister', 'Cersei Lannister', 'Jaime Lannister', 'Catelyn Stark', 'Daenerys Targaryen', 'Jorah Mormont', 'Jon Snow', 'Tywin Lannister', 'Davos Seaworth', 'Joffrey Baratheon', 'Bran Stark', 'Robb Stark', 'Arya Stark', 'Theon Greyjoy', 'Samwell Tarly']"
18,Blackwater,['Neil Marshall'],9.7,Episode aired 27 May 2012,Season 2,Episode 9,"Confident of victory, Stannis Baratheon's fleet and army arrive at King's Landing and the battle for the city begins. The Lannisters are badly outnumbered but Tyrion has make sensible preparations and strikes a blow. When no one else will lead the troops beyond the city wall, Tyrion decides he will do so himself. Cersei plans for her and her children's future. It appears they are all headed for certain death but help suddenly arrives.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Charles Dance', 'Liam Cunningham', 'Jack Gleeson', 'Sophie Turner', 'Rory McCann', 'Stephen Dillane', 'Jerome Flynn', 'Conleth Hill', 'Sibel Kekilli', 'Roy Dotrice', 'Julian Glover', 'Eugene Simon', 'Kerr Logan']","['Tyrion Lannister', 'Cersei Lannister', 'Tywin Lannister', 'Davos Seaworth', 'Joffrey Baratheon', 'Sansa Stark', ""Sandor 'The Hound' Clegane"", 'Stannis Baratheon', 'Bronn', 'Lord Varys', 'Shae', 'Hallyne', 'Grand Maester Pycelle', 'Lancel Lannister', 'Matthos Seaworth']"
19,Valar Morghulis,['Alan Taylor'],9.4,Episode aired 3 June 2012,Season 2,Episode 10,"With the battle won, King Joffrey names his grandfather, Tywin Lannister, as the Hand of the King. It has an immediate impact on Tyrion, who awakens in new and much smaller quarters wounded from the battle . Petyr Baelish is rewarded for his loyalty. The King takes an interest in Lady Margaery Tyrell and decides to marry her. Lord Varys recruits a new spy. Arya has managed to escape from Harrenhal with Jaqen H'ghar's help. He shows her something of himself. Theon and his men are surrounded at Winterfell and are forced to abandon their position. They don't leave much behind. North of the wall, Jon impresses his captor in a fight with one of his own. King Robb and Talisa are married despite the promise he had previously made. Brienne and Jaime Lannister continue their journey but not without difficulty. In Qarth, Daenerys enters the House of the Undying to retrieve her dragons.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Nikolaj Coster-Waldau', 'Michelle Fairley', 'Emilia Clarke', 'Aidan Gillen', 'Iain Glen', 'Kit Harington', 'Charles Dance', 'Isaac Hempstead Wright', 'Richard Madden', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'John Bradley']","['Tyrion Lannister', 'Cersei Lannister', 'Jaime Lannister', 'Catelyn Stark', 'Daenerys Targaryen', ""Petyr 'Littlefinger' Baelish"", 'Jorah Mormont', 'Jon Snow', 'Tywin Lannister', 'Bran Stark', 'Robb Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Samwell Tarly']"
20,Valar Dohaeris,['Daniel Minahan'],8.8,Episode aired 31 March 2013,Season 3,Episode 1,"Beyond the wall, those of the Night's Watch that have survived try to go south to warn everyone of what is coming. Samwell is taken to task for not having sent the ravens. Jon Snow meets Mance Rayder, the King beyond the Wall and is accepted among them. In King's Landing, Tyrion's face has healed and Cersei pays him a visit worried about what he might say about her to their father. Tyrion enlists Bronn, now a knight, to protect him. He doesn't get much satisfaction from his father who promises him better living quarters but not much else. Lady Margaery is cementing her place at court. Sansa meanwhile may have a way out of King's Landing courtesy of Lord Baelish. Davos Seaworth has survived and is rescued. He returns to Dragonstone intent on stopping Melisandre but soon finds himself in the dungeons. Robb Stark arrives at Harrenhal to find all of its occupants dead. Daenerys arrives in Astapor looking for an army. Ser Jorah tells her the Unsullied are the best fighters in the world.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Richard Madden', 'Iain Glen', 'Michelle Fairley', 'Aidan Gillen', 'Charles Dance', 'Liam Cunningham', 'Stephen Dillane', 'Carice van Houten', 'Natalie Dormer', 'John Bradley', 'Jack Gleeson']","['Tyrion Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', 'Robb Stark', 'Jorah Mormont', 'Catelyn Stark', ""Petyr 'Littlefinger' Baelish"", 'Tywin Lannister', 'Davos Seaworth', 'Stannis Baratheon', 'Melisandre', 'Margaery Tyrell', 'Samwell Tarly', 'Joffrey Baratheon']"
21,"Dark Wings, Dark Words",['Daniel Minahan'],8.6,Episode aired 7 April 2013,Season 3,Episode 2,Bran dreams of the three-eyed raven but Osha doesn't want to hear the details. He meets Jojen Reed and his sister Meera. Bran and Jojen seem to have a great deal in common. Robb learns of the fall of Winterfell and also that Catelyn's father has died. He leads his troops to Riverrun for his grandfather's funeral and en route Catelyn tells Talisa of her desire that Jon Snow die when he was just a babe. Cersei tries to warn Joffre about Margaery's ambition but it falls on deaf ears. Brienne and Jamie continue their journey to King's Landing but run into trouble. Sansa believes that Baelish's desire to help her is because he loved her mother. Shae explains the nature of men to her. Sansa meets Margaery and her grandmother Lady Olenna and reveals her the truth about Joffrey. Samwell Tarley is having trouble keeping up as what remains of the Night's Watch as they try to reach the Wall. Arya is also trying to get to Riverrun but she and her companions meet up with the Brotherhood without ...,"[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Kit Harington', 'Richard Madden', 'Michelle Fairley', 'Natalie Dormer', 'Isaac Hempstead Wright', 'Jack Gleeson', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'Oona Chaplin', 'Joe Dempsie', 'Rose Leslie']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Jon Snow', 'Robb Stark', 'Catelyn Stark', 'Margaery Tyrell', 'Bran Stark', 'Joffrey Baratheon', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Talisa Stark', 'Gendry', 'Ygritte']"
22,Walk of Punishment,"['David Benioff', 'D.B. Weiss']",8.9,Episode aired 14 April 2013,Season 3,Episode 3,"Arya may have found a new protector but one of her friends decides not to continue on their journey. Robb arrives in Riverrun for his grandfather's funeral but is not pleased to hear that his uncle Edmure failed to follow his orders and attacked Tywin Lannister's army. His plans to entrap the Lannister's army are now ruined. At King's Landing, Tywin Lannister relieves Baelish of his duties as treasurer and assigns the task to his son Tyrion, who openly admits that he has far more experience spending money than managing it. While collecting the accounting books at Baelish's brothel, Tyrion has a gift for Podrick. In Astapor, Daenerys decides to buy all 8000 of the Unsullied and offers one of her dragons as payment. North of the Wall, the surviving members of the Night's Watch try to stay alive. They stop at Craster's keep and Samwell sees that Gilly is giving birth. Jaime manages to convince his captors that Brienne could bring a hefty ransom provided she is unharmed and left with her ...","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Richard Madden', 'Iain Glen', 'Michelle Fairley', 'Aidan Gillen', 'Charles Dance', 'Stephen Dillane', 'Carice van Houten', 'Alfie Allen', 'John Bradley', 'Maisie Williams']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', 'Robb Stark', 'Jorah Mormont', 'Catelyn Stark', ""Petyr 'Littlefinger' Baelish"", 'Tywin Lannister', 'Stannis Baratheon', 'Melisandre', 'Theon Greyjoy', 'Samwell Tarly', 'Arya Stark']"
23,And Now His Watch Is Ended,['Alex Graves'],9.6,Episode aired 21 April 2013,Season 3,Episode 4,"In King's Landing, Tyrion seeks out Varys' advice on getting revenge against those who tried to kill him. He learns the Varys' approach is to go slow. Cersei is troubled that Margaery has Joffrey wrapped around her little finger. Her father won't take her advice and tells her why. Varys approaches Margaery's grandmother to discuss matters of mutual interest. North of the Wall, some of the Night's Watch are on the brink of rebellion. Jaime is continually humiliated by his captors but Brienne has words of encouragement for him. Arya reaches the main group of the Brotherhood without Banners and Sandor Clegane learns his fate.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Iain Glen', 'Michelle Fairley', 'Charles Dance', 'Natalie Dormer', 'Alfie Allen', 'Isaac Hempstead Wright', 'Sophie Turner', 'Maisie Williams', 'John Bradley', 'Joe Dempsie', 'Jack Gleeson']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jorah Mormont', 'Catelyn Stark', 'Tywin Lannister', 'Margaery Tyrell', 'Theon Greyjoy', 'Bran Stark', 'Sansa Stark', 'Arya Stark', 'Samwell Tarly', 'Gendry', 'Joffrey Baratheon']"
24,Kissed by Fire,['Alex Graves'],9.0,Episode aired 28 April 2013,Season 3,Episode 5,"Brienne and Jaime are delivered to Lord Bolton where Jaime has his wounds treated. He tells Brienne about the events leading up to killing the King and acquiring the name Kingslayer. Sandor Clegane engages in mortal combat but succeeds in gaining his freedom much to Arya's annoyance. At King's Landing, Cersei begins plotting against the Tyrells and seeks Baelish's assistance. Tyrion discusses the cost of the upcoming wedding with Lady Olenna and she agrees to pay half the cost. Tywin Lannister has become aware of the Tyrells plans to have Sansa Stark marry Ser Loras Tyrell but he has his own idea as to who she should marry. Robb has to deal with the murderers of Tywin Lannisters young nephews including Lord Rickard Karstark whom he executes against the advice of those around him. Daenerys' army is on the move. North of the wall, Jon and Ygritte become lovers.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Richard Madden', 'Iain Glen', 'Michelle Fairley', 'Aidan Gillen', 'Charles Dance', 'Liam Cunningham', 'Stephen Dillane', 'Natalie Dormer', 'Oona Chaplin', 'Sophie Turner']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', 'Robb Stark', 'Jorah Mormont', 'Catelyn Stark', ""Petyr 'Littlefinger' Baelish"", 'Tywin Lannister', 'Davos Seaworth', 'Stannis Baratheon', 'Margaery Tyrell', 'Talisa Stark', 'Sansa Stark']"
25,The Climb,['Alik Sakharov'],8.8,Episode aired 5 May 2013,Season 3,Episode 6,"In King's Landing, Tywin Lannister and Lady Olenna meet to discuss his children's proposed marriages. She puts up a good fight but in the end is forced to admit defeat. Tyrion and Cersei bemoan their fate. Tyrion is forced to tell Sansa what his father has decided. Baelish meanwhile eliminates a spy in his midsts. Arya takes an immediate dislike to Melisandre when she arrives at their camp. That dislike grows when she learns Melisandre is taking someone away with her. Jaime negotiates his release and return to King's Landing. Robb, his army depleted, realizes he has no choice but to repair relations with the Freys. However, since Robb didn't marry one of the Frey daughters as promised, they demand Edmure Tully marry one of them instead. Jon, Ygritte and many others arrive at the Wall and begin the 700 ft. climb","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Kit Harington', 'Richard Madden', 'Michelle Fairley', 'Aidan Gillen', 'Charles Dance', 'Carice van Houten', 'Alfie Allen', 'Isaac Hempstead Wright', 'Sophie Turner', 'Maisie Williams', 'John Bradley', 'Joe Dempsie']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Jon Snow', 'Robb Stark', 'Catelyn Stark', ""Petyr 'Littlefinger' Baelish"", 'Tywin Lannister', 'Melisandre', 'Theon Greyjoy', 'Bran Stark', 'Sansa Stark', 'Arya Stark', 'Samwell Tarly', 'Gendry']"
26,The Bear and the Maiden Fair,['Michelle MacLaren'],8.7,Episode aired 12 May 2013,Season 3,Episode 7,"Robb and his entourage are traveling to the Freys but wet weather has delayed them. Talisa has big news for him. Jon Snow, Ygritte and the others have crossed into the south and are headed to Castle Black. Margaery has good advice for Sansa who dreads the thought of having to marry Tyrion. For his part, Tyrion thinks she's too young. Shae is also unhappy with Tyrion's upcoming marriage and she wants them to run away. Tywin Lannister makes sure King Joffrey knows exactly who is on charge. Daenerys and her army arrive at Yunkai, the Yellow City. Ser Jorah recommends that they simply bypass the walled city as conquering it serves no useful purpose. She disagrees but the slavers of Yunkai refuse to free all of their slaves. Melissandre arrives in King's Landing with Gendry and tells him of his ancestry. Arya meanwhile runs off on her own and into the arms of an enemy. Jaime begins his trip to King's Landing but refuses to leave Brienne behind. Theon Greyjoy is comforted by two young ...","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Emilia Clarke', 'Kit Harington', 'Richard Madden', 'Iain Glen', 'Michelle Fairley', 'Charles Dance', 'Natalie Dormer', 'Carice van Houten', 'Isaac Hempstead Wright', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'Oona Chaplin']","['Tyrion Lannister', 'Jaime Lannister', 'Daenerys Targaryen', 'Jon Snow', 'Robb Stark', 'Jorah Mormont', 'Catelyn Stark', 'Tywin Lannister', 'Margaery Tyrell', 'Melisandre', 'Bran Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Talisa Stark']"
27,Second Sons,['Michelle MacLaren'],9.0,Episode aired 19 May 2013,Season 3,Episode 8,The time for Tyrion's wedding to Sansa has arrived. His resolve to not go through with wedding has evaporated and he now accepts its inevitability. He explains to Sansa why he feels he has to go through with it and she too is prepared to do her duty. Joffrey goes out of his way to embarrass them both at the ceremony. Arya assumed Sandor Clegane was taking her to King's Landing and is surprised when tells her where they're going. The Yunkai have hired an army to protect them and Daenerys tries to convince their leaders to come to her side. Most reject her proposal but one decides to take matters into his own hands. Melissandre returns home intent on showing the power of a king's blood. Sam and Gilly encounter a white walker.,"[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Emilia Clarke', 'Iain Glen', 'Charles Dance', 'Liam Cunningham', 'Stephen Dillane', 'Carice van Houten', 'Natalie Dormer', 'Jack Gleeson', 'Sophie Turner', 'Maisie Williams', 'John Bradley', 'Joe Dempsie', 'Sibel Kekilli']","['Tyrion Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jorah Mormont', 'Tywin Lannister', 'Davos Seaworth', 'Stannis Baratheon', 'Melisandre', 'Margaery Tyrell', 'Joffrey Baratheon', 'Sansa Stark', 'Arya Stark', 'Samwell Tarly', 'Gendry', 'Shae']"
28,The Rains of Castamere,['David Nutter'],9.9,Episode aired 2 June 2013,Season 3,Episode 9,"Robb, his wife Talisa and mother Catelyn arrive for the marriage of Edmure Tully to one of Walder Frey's daughters. There is considerable tension between the two families but Robb's sincere apology for not marrying one of Frey's daughters is well received. It doesn't stop the elderly Frey from being both crude and rude towards his guests. Edmure is pleasantly surprised to see that his bride is to be Frey's prettiest granddaughter, Roslin. The festivities continue but Walder Frey has something very special planned. Arya and Sandor Clegane arrive at the Twins but too late to do anything. Daenerys meanwhile orders the attack on Yunkai based on information provided by Daario. Brandon learns the strength of his powers. Jon Snow is forced to choose between the Watch and Ygritte.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Emilia Clarke', 'Kit Harington', 'Richard Madden', 'Iain Glen', 'Michelle Fairley', 'John Bradley', 'Isaac Hempstead Wright', 'Maisie Williams', 'Oona Chaplin', 'Rose Leslie', 'Rory McCann', 'David Bradley', 'Mackenzie Crook', 'Michael McElhatton', 'Ian McElhinney']","['Daenerys Targaryen', 'Jon Snow', 'Robb Stark', 'Jorah Mormont', 'Catelyn Stark', 'Samwell Tarly', 'Bran Stark', 'Arya Stark', 'Talisa Stark', 'Ygritte', ""Sandor 'The Hound' Clegane"", 'Walder Frey', 'Orell', 'Roose Bolton', 'Barristan Selmy']"
29,Mhysa,['David Nutter'],9.1,Episode aired 9 June 2013,Season 3,Episode 10,"The news of the red wedding has reached King's Landing and Tywin Lannister calls a meeting of the small council. Joffery rejoices at the news but no one supports his plan to present Sansa with Robb's head at his wedding to Margaery. Arya flees the Twins with Sandor Clegane as her protector but not before she sees what they've done to Robb. She exacts a modicum of revenge. Ygritte catches up with Jon Snow but he survives the encounter making it to Castle Black as do Sam and Gilly. Bran makes it through the wall and into the unknown lands. Jaime and Brienne arrive in King's Landing.At Yunkai, Daenerys awaits the reaction of the thousands of slaves who are now free.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Iain Glen', 'Charles Dance', 'Liam Cunningham', 'Stephen Dillane', 'Carice van Houten', 'Isaac Hempstead Wright', 'Sophie Turner', 'Maisie Williams', 'Alfie Allen', 'Jack Gleeson']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', 'Jorah Mormont', 'Tywin Lannister', 'Davos Seaworth', 'Stannis Baratheon', 'Melisandre', 'Bran Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Joffrey Baratheon']"
