,Title,Director,Rating,Airdate,Season_number,Episode_Number,Description,Genres,Cast,Character
37,Shotgun,Michelle MacLaren,8.7,Episode aired 14 August 2011,Season 4,Episode 5,"In his attempt to save Jesse, Walt visits Gus' fast food restaurant but isn't quite prepared for what he learns. Nor is Jesse for that matter. In fact, he proves to be quite useful though not everything is as it seems. Hank is convinced that Gale Boetticher was Heisenberg and tells the local police detective that he really has no further interest in the case. He mentions that Jesse Pinkman could have been involved but is not likely the shooter. Walt and Skyler close the deal on the car wash and take a major step in repairing their relationship but at dinner with Hank and Marie, a slightly drunken Walt says that from what he saw in Gale's notebook, it's obvious he isn't Heisenberg. Hank re-examines the files and finds something quite puzzling.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'Nigel Gibbs', 'Ray Campbell', 'Ashley Kajiki', 'Rutherford Cravens']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'APD Detective Tim Roberts', 'Tyrus Kitt', 'Pollos Manager', 'Mortgage Broker']"
38,Cornered,Michael Slovis,8.5,Episode aired 21 August 2011,Season 4,Episode 6,"It's the morning after the night before and Walt has a major hangover. Skyler is now convinced that Walt is in danger but he makes sure she understands exactly how important he is to the criminal organization. He's a little too blunt as Skyler's reaction is to take the baby and disappear for a few days. One of Gus' trucks has been hijacked so Mike and Jesse are tasked to get the blue meth back. Once again, Jesse proves to be unexpectedly useful. In the lab, Walt is fed up with Jesse going off on errands with Mike and so comes up with his own solution to cleaning up. He also learns that his actions may have unintended consequences.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'Maurice Compte', 'Damon Herriman', 'Blake Berris', 'Ray Campbell', 'Marius Stan', 'Jason E. Hill']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Gaff', 'Scary Skell', 'Tucker', 'Tyrus Kitt', 'Bogdan Wolynetz', 'Truck Guard 1']"
39,Problem Dog,Peter Gould,8.9,Episode aired 28 August 2011,Season 4,Episode 7,"The car wash is now in operation but Skyler isn't prepared for the amount of money Walt is bringing in. She also arranges for Walt to return the car he bought Walt Jr. but in the end decides he has other plans for it. Walt still believes his life is in danger as long as Gus is alive and speaks to Saul about how he wants to hire a hit man. He finds someone closer to home. Hank and Walter Jr. visit Gus Fring's chicken restaurant and Hank has something very specific in mind. He's slowly putting the facts together in his quest for Heisenberg. Facing a series of conflicting emotions, Jesse goes back to his group counseling session.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'David Costabile', 'Steven Michael Quezada', 'Jere Burns', 'Michael Shamus Wiles', 'Maurice Compte', 'Fran Martone']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Gale Boetticher', 'Steven Gomez', 'Group Leader', 'ASAC George Merkert', 'Gaff', 'Colleen']"
40,Hermanos,Johan Renck,9.3,Episode aired 4 September 2011,Season 4,Episode 8,"Hank's discovery of Gus Fring's fingerprint in Gale Boetticher's apartment is enough for DEA and Albuquerque PD to bring Gus in for an interview. He seems to have an answer for everything, including why his fingerprint was found at the crime scene. Everyone but Hank seems to be satisfied and they decide not to pursue the matter. Hank isn't so sure. Gus realizes how close he's come to being caught and in flashbacks, his entry into a world of crime and his work with the Mexican drug cartel is revealed. Hank involves Walt in his plan to track Gus' movements putting Walt in a very dangerous situation.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'Mark Margolis', 'Steven Michael Quezada', 'Emily Rios', 'Michael Shamus Wiles', 'Javier Grajeda', 'Nigel Gibbs']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Tio Salamanca', 'Steven Gomez', 'Andrea Cantillo', 'ASAC George Merkert', 'Juan Bolsa', 'APD Detective Tim Roberts']"
41,Bug,Terry McDonough,8.9,Episode aired 11 September 2011,Season 4,Episode 9,"Hank is like a dog with a bone and keeps digging into Gus Fring's business dealings despite Walt's attempts to get him to stop. When Hank learns that Gus has a warehouse operation, Mike and a crew have to get rid of any trace of drugs on the premises. The Cartel however is lying in wait. When Jesse expresses concern over his future well-being Gus asks him over for dinner and asks him one question: can he cook Walt's recipe without Walt's assistance. Skyler meanwhile gets a visit from her old boss who reveals that he's about to undergo an IRS audit. She has to be quick on her her feet if she's to avoid being audited herself.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'Christopher Cousins', 'Maurice Compte', 'Rob Brownstein', 'Ray Campbell', 'Scott Sharot', 'Eric Steinig']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Ted Beneke', 'Gaff', 'CID Special Agent', 'Tyrus Kitt', 'Car Wash Customer', ""Mike's Security Team Member""]"
42,Salud,Michelle MacLaren,9.6,Episode aired 18 September 2011,Season 4,Episode 10,"Jesse, Gus, and Mike fly to Mexico where Jesse will cook a batch of crystal meth for Don Eladio's skeptical team. If Jesse succeeds, then what? Walter is recovering from a beating and misses his son's 16th birthday; Walter Jr. comes to his dad's place to find out what's wrong. Skyler discovers that Ted Beneke is not using an anonymous windfall to repay the IRS; she calls on Ted. By the end, we're back poolside at Don Eladio's villa where they toast each other's health with well-aged tequila.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'Christopher Cousins', 'Maurice Compte', 'Carlo Rota', 'Steven Bauer', 'Ray Campbell', 'Tina Parker']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Ted Beneke', 'Gaff', 'Benicio Fuentes', 'Don Eladio', 'Tyrus Kitt', 'Francesca']"
43,Crawl Space,Scott Winant,9.7,Episode aired 25 September 2011,Season 4,Episode 11,"Hank has Walter drive him to the chicken ranch for regular stakeouts then suggests a detour to check out an industrial laundry. How can Walter get out of this one? Ted refuses to pay the IRS, so Skyler turns to Saul who sends his A team. Although Walter has continued to cook while getting no word on what's happened in Mexico to Jesse, Jesse has had his own six-mile walk with Gus through the desert to the Texas border. When circumstances prevent Walter from cooking for four days, he realizes that someone has been doing the job without him; Gus confirms Walter's suspicions with a nasty set of threats. Now Walter is truly desperate.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'Mark Margolis', 'Christopher Cousins', 'Emily Rios', 'Bill Burr', 'JB Blanc', 'Ray Campbell']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Tio Salamanca', 'Ted Beneke', 'Andrea Cantillo', 'Kuby', 'Dr. Barry Goodman', 'Tyrus Kitt']"
44,End Times,Vince Gilligan,9.5,Episode aired 2 October 2011,Season 4,Episode 12,"With the DEA now aware of the threat against Hank, Skyler and the children move into protective custody. Walt refuses to do so, barricading himself in his house determined to face whatever fate now awaits him. Jesse again refuses to let Gus get rid of Walt, even after the DEA visits the laundry to have a look around. When his girlfriend's son, Brock, falls seriously ill he realizes that the poison Walt had given him is missing. He goes berserk assuming Walt is responsible but Walt has a different explanation for him. With Jesse maintaining a vigil at the hospital and refusing to cook in the lab, Walt has a plan to deal with Gus.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'Steven Michael Quezada', 'Emily Rios', 'Ray Campbell', 'Mike Batayeh', 'Lavell Crawford', 'Tina Parker']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Steven Gomez', 'Andrea Cantillo', 'Tyrus Kitt', 'Dennis Markowski', 'Huell', 'Francesca']"
45,Face Off,Vince Gilligan,9.9,Episode aired 9 October 2011,Season 4,Episode 13,"Having failed to blow up Gus Fring's car, Walt has to come up with a new plan. Unable to find Saul Goodman, he turns to a surprising source to help him out. Jesse meanwhile is taken in for questioning by the police who want to know how and why he told doctors that Brock was poisoned with ricin. Still under DEA protection in his home, Hank learns that former Cartel member Hector Salamanca is at the DEA office but will only speak to Hank. When Hank goes to the office, Salamanca has little of use to say.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'Mark Margolis', 'Steven Michael Quezada', 'Michael Shamus Wiles', 'Ray Campbell', 'Myra Turley', 'Gonzalo Menendez']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Tio Salamanca', 'Steven Gomez', 'ASAC George Merkert', 'Tyrus Kitt', 'Caregiver', 'Detective Kalanchoe']"
46,Live Free or Die,Michael Slovis,9.3,Episode aired 15 July 2012,Season 5,Episode 1,"Flash ahead to Walter's 52nd birthday: he's at a Denny's, disheveled, hair and beard unkempt, using a false name and a New Hampshire driver's license, paying a guy for a car with weapons in the trunk. Back to the immediate aftermath of Gus's death: Skyler is dazed at Walt's murderous success, Walt and Jesse make peace, and Hank visits the burned-out lab. Walt remembers the surveillance cameras Gus used at the lab, so they turn to an angry Mike for help. Can they get rid of the digital evidence in police custody? Is hubris going to trip up Walt?","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Jonathan Banks', 'Christopher Cousins', 'Steven Michael Quezada', 'Jim Beaver', 'Larry Hankin', 'JB Blanc', 'James Harris', 'Monique Candelaria']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Mike Ehrmantraut', 'Ted Beneke', 'Steven Gomez', 'Lawson', 'Old Joe', 'Dr. Barry Goodman', 'Duty Officer', 'Lucy']"
47,Madrigal,Michelle MacLaren,8.9,Episode aired 22 July 2012,Season 5,Episode 2,"In Germany, the head of a multinational company's fast food division - which includes Gus' franchised chicken restaurants - commits suicide when the police come to question him. With Jesse fretting over what happened with the poison cigarette intended for Gus Fring, Walt plans an elaborate ruse to let him find it in his house. With that out of the way, they approach Mike to join them in starting up the business but he refuses. Mike is also approached by a woman, Lydia - obviously involved in Gus Fring's drug business - who is worried about the number of people who could have their arms twisted to testify against them and wants them eliminated. Mike declines but when someone goes after him, he knows the source.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Jonathan Banks', 'Laura Fraser', 'Steven Michael Quezada', 'Michael Shamus Wiles', 'Norbert Weisser', 'Wolf Muser', 'Carrington Vilmont', 'James Ning']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Mike Ehrmantraut', 'Lydia Rodarte-Quayle', 'Steven Gomez', 'ASAC George Merkert', 'Peter Schuler', 'Herr Herzog', 'Chief Food Technician', 'Duane Chow']"
48,Hazard Pay,Adam Bernstein,8.9,Episode aired 29 July 2012,Season 5,Episode 3,"Walt, Jessie, and Mike's business starts back up. Walt finds an ingenious solution to the problem of where to set up the lab, Jesse makes a decision about his personal life, and Mike visits each of his crew to ensure that they stay mum, even with the feds pressuring them. Hank goes back to work. Skyler remains numb, and Marie badgers her about what's wrong. Walt is in for a surprise when Mike divides the money from the first cook.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Jonathan Banks', 'Fred Cruz', 'Matt Jones', 'Emily Rios', 'Jesse Plemons', 'Mike Batayeh', 'Franc Ross', 'Charles Baker']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Mike Ehrmantraut', 'Lt. Adam Estiguez', 'Badger', 'Andrea Cantillo', 'Todd', 'Dennis Markowski', 'Ira', 'Skinny Pete']"
49,Fifty-One,Rian Johnson,8.9,Episode aired 5 August 2012,Season 5,Episode 4,"Walter, his confidence up, leases two muscle cars - one for himself and one for Junior. He's turning 51 and would like a party, Hank and his team visit Lydia in Houston, Jesse flies there to pick up the accelerant, Mike makes a decision that Jessie wants reversed, Hank is offered a promotion, Walter explains Skyler's behavior to Marie and Hank with references to Ted, and Skyler, coming slowly out of her funk, hatches a makeshift plan to protect her children.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Jonathan Banks', 'Laura Fraser', 'Steven Michael Quezada', 'Todd Terry', 'Russ Dillen', 'Melissa McCurley']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Mike Ehrmantraut', 'Lydia Rodarte-Quayle', 'Steven Gomez', 'SAC Ramey', 'Ron Forenall', 'Secretary']"
50,Dead Freight,George Mastras,9.7,Episode aired 12 August 2012,Season 5,Episode 5,"A boy on a motorbike finds a large tarantula in the desert. Walter pays a visit to Hank in the new office; Walt's intentions are not entirely above board. The team's search for methylamine continues, with Michael and Lydia at odds, and Jesse wanting to obtain the chemical without resorting to murder. They hatch an elaborate plan involving buried tanks, a train trestle, and a stalled truck. The children remain with Hank and Marie to Junior's increasing anger and frustration. Skyler lays more of her cards on the table. What price success?","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Jonathan Banks', 'Laura Fraser', 'Jesse Plemons', 'Steven Michael Quezada', 'Bill Burr', 'Jamie McShane', 'Myk Watford', 'Miguel Martinez']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Mike Ehrmantraut', 'Lydia Rodarte-Quayle', 'Todd', 'Steven Gomez', 'Kuby', 'Conductor', 'Engineer', 'Fernando']"
51,Buyout,Colin Bucksey,9.1,Episode aired 19 August 2012,Season 5,Episode 6,"With blood on their hands, the Walter, Jesse, and Mike partnership must first decide what to do about Todd. After that's settled, Walter is ready to cook again, but Jesse and Mike have another idea. Skyler spends some time with her daughter and with Marie, and Walter's invitation that Jesse stay for dinner adds to Skyler's misery. Hank and his team put nearly round-the-clock surveillance on Mike, and a meth producer in Phoenix has a plan.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Jonathan Banks', 'Jesse Plemons', 'Steven Michael Quezada', 'Louis Ferreira', 'Kaija Bales', 'Sam Webb', 'Morse Bicknell', 'Phil Duran']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Mike Ehrmantraut', 'Todd', 'Steven Gomez', 'Declan', 'Kaylee Ehrmantraut', 'Drew Sharp', ""Declan's Driver"", 'DEA Agent']"
52,Say My Name,Thomas Schnauz,9.6,Episode aired 26 August 2012,Season 5,Episode 7,"In the desert, Walter meets with the Phoenix crystal meth distributors to set up a new partnership. Mike's out, Jesse wants out, Skyler's checked out, and Hank's boss wants him to stop spending time and resources on pursuing Mike. Walt needs to get the bug out of Hank's office, and Hank may have one more play.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Jonathan Banks', 'Jesse Plemons', 'Steven Michael Quezada', 'Louis Ferreira', 'Todd Terry', 'Kaija Bales', 'Chris Freihofer', 'Kathleen Brady']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Mike Ehrmantraut', 'Todd', 'Steven Gomez', 'Declan', 'SAC Ramey', 'Kaylee Ehrmantraut', 'Dan Wachsberger', 'Dorothy Yobs']"
53,Gliding Over All,Michelle MacLaren,9.6,Episode aired 2 September 2012,Season 5,Episode 8,"Hank's team puts pressure on Mike's crew, and at least one is ready to flip. Walter meets with Lydia, demanding the names of Mike's crew; she's afraid that once she lists them, Walter will dispatch her. She offers him a deal. Walter talks to Todd's uncle, Hank has a terrible day at work, and the cooking continues. Marie pushes Skyler to let the children return home, she takes Walt on a short car trip, and Hank may have a touch of constipation.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Jonathan Banks', 'Laura Fraser', 'Jesse Plemons', 'Steven Michael Quezada', 'Michael Bowen', 'Kevin Rankin', 'Mike Batayeh', 'Chris Freihofer']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Mike Ehrmantraut', 'Lydia Rodarte-Quayle', 'Todd', 'Steven Gomez', 'Uncle Jack', 'Kenny', 'Dennis Markowski', 'Dan Wachsberger']"
54,Blood Money,Bryan Cranston,9.5,Episode aired 11 August 2013,Season 5,Episode 9,"Hank is reeling from the information he found in Walt's bathroom, so much so that he has a panic attack on his way home from Walt's house. He decides to stay home for a few days but has boxes of evidence sent to him. As he sifts through the paper, he realizes the extent to which he's been had. Walt meanwhile has kept his promise to his Skyler and is no longer in the business. He works at the car-wash and suggests that they buy another one. His cancer has returned however and he's undergoing chemo again. Jesse is feeling guilty about some of the things he's done and tries to get Saul to get money to the families of some of their victims. Saul knows better and gets Walt to calm him down. A desperate Jesse resorts to other ways of getting rid of the money. When Walt realizes the book from his bathroom is missing, he visits Hank.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Laura Fraser', 'Jesse Plemons', 'Matt Jones', 'Charles Baker', 'Lavell Crawford', 'Tina Parker', 'Pedro García', 'Cheryl Ford-Mente']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Lydia Rodarte-Quayle', 'Todd', 'Badger', 'Skinny Pete', 'Huell', 'Francesca', 'Mariano', 'Carol']"
55,Buried,Michelle MacLaren,9.2,Episode aired 18 August 2013,Season 5,Episode 10,"Hank immediately contacts Skyler to tell her what he's learned. He wants her to give him a statement but she decides she wants a lawyer. Hank gets his wife to talk to her but after an ugly confrontation, Skyler stands her ground. Walt, unable to contact Skyler, has Saul's men get his money out of his storage locker. He promptly buries the loot in the desert. He returns home knowing that Hank has been in touch with Skyler but she assures him that she told Hank nothing. She's also convinced that Hank has no evidence to back up anything he might know. A frustrated Hank returns to work having no evidence to move against Walt. When he hears that Jesse Pinkman has been arrested, he decides to visit him in jail.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Laura Fraser', 'Jesse Plemons', 'Steven Michael Quezada', 'Bill Burr', 'Lavell Crawford', 'Louis Ferreira', 'Michael Bowen', 'Kevin Rankin']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Lydia Rodarte-Quayle', 'Todd', 'Steven Gomez', 'Kuby', 'Huell', 'Declan', 'Uncle Jack', 'Kenny']"
56,Confessions,Michael Slovis,9.6,Episode aired 25 August 2013,Season 5,Episode 11,"Walt is still trying to convince Hank - and to a lesser extent Marie - that they should do nothing and just let nature take its course. He's no longer involved in any criminal activity and will be dead in a few months from his cancer. They're not very receptive to his ideas but when they get home they find that Walt has recorded a video confession admitting to everything - and naming Hank as the mastermind behind it all. Jesse meanwhile has been released from jail. He said nothing to the police or Hank about his business with Walt but seems completely lost. In a difficult meeting with Walt, he agrees to acquire a new identity and start a life in Alaska. As he awaits Saul's contact who will provide him with what he needs, he comes to the realization that it was Walt who tried to kill Brock.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Laura Fraser', 'Jesse Plemons', 'Steven Michael Quezada', 'Lavell Crawford', 'Michael Bowen', 'Kevin Rankin', 'Gonzalo Menendez', 'Guy Wilson']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Lydia Rodarte-Quayle', 'Todd', 'Steven Gomez', 'Huell', 'Uncle Jack', 'Kenny', 'Detective Kalanchoe', 'Trent']"
57,Rabid Dog,Sam Catlin,9.2,Episode aired 1 September 2013,Season 5,Episode 12,"Walt returns home to find Saul's car in his driveway with the door open. He goes in the back way believing Jesse is waiting for him but finds the house empty and gasoline all over the living room. He sets about cleaning the place up but unable to do so completely, he invents a story that Skyler sees through immediately. She tells him there's only one way to resolve the Jesse situation. Unbeknown to Walt, the reason Jesse wasn't in the house is that Hank had been following him and stopped him from setting the house on fire. He gets Jesse to tell his story but Hank still has no hard evidence. He wants Jesse to wear a wire but Jesse thinks there's a better way.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Laura Fraser', 'Jesse Plemons', 'Steven Michael Quezada', 'Bill Burr', 'Lavell Crawford', 'Bruce McKenzie', 'Wray Crawford', 'Manny Rey']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Lydia Rodarte-Quayle', 'Todd', 'Steven Gomez', 'Kuby', 'Huell', 'Dave', 'Locksmith', 'Carpet Cleaner']"
58,To'hajiilee,Michelle MacLaren,9.8,Episode aired 8 September 2013,Season 5,Episode 13,"Jesse's plan to get evidence against Walt is relatively simple: Find out where Walt has stashed his money and either take it from him or threaten to do so. Either way, it will flush him out and the DEA can nab him and the cash. Hank and Gomez convince Saul's man Huell that Walt has gone on a killing spree, and while he doesn't know where the money is, Huell tells them about the barrels of money. Walt for his part is on high alert knowing that Jesse wants him dead. He tries to get Jesse out into the open through his girlfriend Andrea but Hank intercepts that message. Walt finally contacts Todd's uncle and he agrees to eliminate Jesse. There is a price to pay, however. Jesse finally contacts Walt and tells him he's about to burn all of his money. Walt panics and heads straight to desert where it's buried, setting up a deadly confrontation.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Laura Fraser', 'Jesse Plemons', 'Steven Michael Quezada', 'Emily Rios', 'Lavell Crawford', 'Michael Bowen', 'Kevin Rankin', 'Ian Posada']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Lydia Rodarte-Quayle', 'Todd', 'Steven Gomez', 'Andrea Cantillo', 'Huell', 'Uncle Jack', 'Kenny', 'Brock Cantillo']"
59,Ozymandias,Rian Johnson,10,Episode aired 15 September 2013,Season 5,Episode 14,"Walt survives the gun battle in the desert but others do not. Jesse survives but Walt wants him dead and expects Todd's uncle Jack to go through with their deal. Something far worse is in store for Jesse and Walt takes the opportunity to tell him about Jane's death. Meanwhile Hank's wife Marie visits her sister Skyler at the car-wash to tell her Walt has been arrested. At Marie's insistence, Skyler tells Walt Jr. about his father's secret. By the time Skyler and Walt Jr. get home Walt is already there and wants them to pack and leave with him. He soon realizes it's all over and leaves, but takes baby Holly with him. With the police now involved, Walt makes one last phone call to Skyler.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Laura Fraser', 'Jesse Plemons', 'Steven Michael Quezada', 'Michael Bowen', 'Kevin Rankin', 'Patrick Sane', 'Tait Fletcher', 'Saginaw Grant']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', 'Lydia Rodarte-Quayle', 'Todd', 'Steven Gomez', 'Uncle Jack', 'Kenny', 'Frankie', 'Lester', 'Native American Man']"
