,Title,Director,Rating,Airdate,Season_number,Episode_Number,Description,Genres,Cast,Character
27,I See You,Colin Bucksey,8.8,Episode aired 9 May 2010,Season 3,Episode 8,"As Jesse is released from hospital, Hank is admitted in critical condition with four gunshot wounds. His wife Marie is not taking it well and lashes out at Hank's boss and partner when she hears that they had taken his gun away, leaving him defenseless. She's also less than happy with Walt whom she blames for getting Hankon Jesse Pinkman's case in the first place. Back at his new underground lab, Walt has to tell Gale that he's no longer required. Spending his free time at the hospital, Jesse is left on his own in the lab and he's growing increasingly worried about meeting their quota. At the hospital, Walt sees the one of the Mexican cousins recovering from his wounds and realizes they were probably after him as well. Gus decides to pay a visit to the hospital.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Giancarlo Esposito', 'Jonathan Banks', 'David Costabile', 'Steven Michael Quezada', 'Michael Shamus Wiles', 'Javier Grajeda', 'Michael Bryan French', 'Daniel Moncada', 'Charles Baker']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Gale Boetticher', 'Steven Gomez', 'ASAC George Merkert', 'Juan Bolsa', 'Doctor', 'Leonel Salamanca', 'Skinny Pete']"
28,Kafkaesque,Michael Slovis,8.5,Episode aired 16 May 2010,Season 3,Episode 9,"Walt and Jesse are now in full production in the new lab and are easily producing the 200 lbs per week of meth, as agreed. In fact, they're producing a few pounds more than required and Jesse can't quite understand why they're just ""giving it away"". He decides to take advantage of the situation. Walt's brother-in-law Hank is still recovering in the hospital and Marie is at a loss about what to do when she learns that their health plan will not necessarily provide the quantity and the quality of physical therapy required for Hank to fully recover the use of his legs. Skyler proposes that she and Walt pay the bills and has an interesting story to tell about how they can afford it. As for Walt, he realizes that his life was in danger and that it was only Gus' intervention that saved him. Walt seeks assurance from Gus that his family's lives would be safe and options for extending the contract beyond 3 months are discussed.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Christopher Cousins', 'Steven Michael Quezada', 'Matt Jones', 'Jere Burns', 'Mark Harelik', 'Charles Baker', 'Jeremiah Bitsui']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Ted Beneke', 'Steven Gomez', 'Badger', 'Group Leader', 'Doctor', 'Skinny Pete', 'Victor']"
29,Fly,Rian Johnson,7.8,Episode aired 23 May 2010,Season 3,Episode 10,"Walt is suffering from insomnia, worried about the choices he has made and the direction his life has taken. Unaware that Jesse has been skimming a bit of their product, he also worried that the numbers in his formulas don't add up and that they always seem to somewhere between 4 and 8 ounces short of what the batch should have produced. The meticulous Walt is also concerned - to the point of paranoia - when he discovers a housefly in the lab. Worried about contamination, he goes to extreme lengths to kill it. Jesse comes to his rescue in an interesting way.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.']"
30,Abiquiu,Michelle MacLaren,8.5,Episode aired 30 May 2010,Season 3,Episode 11,"Skyler gets the first of Hank's hospital bills and decides the time has come to get more involved in Walt's business affairs. She's particularly concerned that the money is laundered correctly and that it absolutely cannot be traced back to Walt's illegal activities. Walt introduces her to Saul the lawyer but she thinks the investment he's lined up is ludicrous and has a better idea. Jesse meanwhile is still trying to peddle the meth he been skimming at the lab and fed up with the slow pace, decides to show how it's done. At the hospital, Marie is thrilled at the prospect of Hank returning home but he doesn't seem anywhere near as pleased. Walt's employer, Gus, invites him to dinner and dispenses sage advice.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Krysten Ritter', 'Matt Jones', 'Jere Burns', 'Emily Rios', 'Charles Baker', 'Ian Posada', 'Angelo Martinez']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Jane Margolis', 'Badger', 'Group Leader', 'Andrea Cantillo', 'Skinny Pete', 'Brock Cantillo', 'Tomas']"
31,Half Measures,Adam Bernstein,9.5,Episode aired 6 June 2010,Season 3,Episode 12,"Jess is ready for revenge when he realizes that the drug dealers who killed his friend are not only peddling their blue meth but are using an 11 year-old to do the work. He's prepared to kill them and wants Walt to help him out. Walt refuses but realizing the danger Jess has put himself in takes steps to protect him. Jess's demands that they stop using children leads to unintended and tragic consequences. At home, Walt tries to lay down the law as it pertains to his role in the family but Skyler holds her ground and refuses to give him everything he wants. Hank meanwhile is still reluctant to leave the hospital and go home, even though his doctors have told him he's free to leave at any time. Marie finds an interesting way to get him to agree.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'Emily Rios', 'Jeremiah Bitsui', 'Julia Minesci', 'Ian Posada', 'Angelo Martinez', 'Mike Seal']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Andrea Cantillo', 'Victor', 'Wendy', 'Brock Cantillo', 'Tomas', 'Rival Dealer #1']"
32,Full Measure,Vince Gilligan,9.7,Episode aired 13 June 2010,Season 3,Episode 13,"In the aftermath of killing the drug dealers, Walt has a tense meeting with Gus who makes it quite clear that his patience has reached its limit. Walt professes not to know the whereabouts of Jesse who he claims has fled the State. Gus chooses Walt's new assistant, who turns out to be Gale. Walt knows that as long as he's the only cook available, Gus will have to keep him alive...","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'David Costabile', 'Jeremiah Bitsui', 'Louis Herthum', 'Kaija Bales', 'James Ning', 'Tiley Chao']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Gale Boetticher', 'Victor', 'Realtor', 'Kaylee Ehrmantraut', 'Duane Chow', 'Peng']"
33,Box Cutter,Adam Bernstein,9.2,Episode aired 17 July 2011,Season 4,Episode 1,"Jesse takes out the competition, causing a crisis in Gus's multi-million-dollar basement lab. Mike holds Walter and Jesse hostage and Victor shows off his cooking skills as they wait for Gus to arrive, change clothes, and render judgment. Meanwhile, Hank's recovery is slow and humiliating; and, Skyler tries to keep Walter Jr. from getting his hopes up. Remorse is in short supply.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'David Costabile', 'Jeremiah Bitsui', 'Lavell Crawford', 'Tina Parker', 'John Lawlor', 'John Barbour']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Gale Boetticher', 'Victor', 'Huell', 'Francesca', 'Locksmith', 'Neighbor']"
34,Thirty-Eight Snub,Michelle MacLaren,8.3,Episode aired 24 July 2011,Season 4,Episode 2,"Shaken by Gus's calm violence, Jesse cokes up; bleary-eyed and jittery, he throws a party. Walter, believing it's kill or be killed, buys a snub-nosed .38 on the black market, intent on shooting Gus and Mike. Skyler looks to launder money at a car wash, and, to Hank's increasing irritation, Marie insists on cheering his every step. Men deliver boxes of minerals and pick up boxes of crystal.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'Jim Beaver', 'Matt Jones', 'Emily Rios', 'Charles Baker', 'Marius Stan', 'Ray Campbell']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Lawson', 'Badger', 'Andrea Cantillo', 'Skinny Pete', 'Bogdan Wolynetz', 'Tyrus Kitt']"
35,Open House,David Slade,8.1,Episode aired 31 July 2011,Season 4,Episode 3,"Skyler finds a way to pressure the car-wash owner into selling, while Marie goes on a series of visits to realtors' open houses. Her antics get her in trouble, and Hank has to pull a few strings. One of his cop friends helps Marie out and, in turn, asks Hank to look at a notebook found at the scene of a murder. Meanwhile, Jesse's round-the-clock open houseparty brings no mirth.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'Nigel Gibbs', 'Jennifer Hasty', 'Bill Burr', 'Jeremy Howard', 'Marius Stan', 'Lavell Crawford']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'APD Detective Tim Roberts', 'Stephanie Doswell', 'Kuby', 'Sketchy', 'Bogdan Wolynetz', 'Huell']"
36,Bullet Points,Colin Bucksey,8.7,Episode aired 7 August 2011,Season 4,Episode 4,"Walt and Skyler have decided to use gambling to explain how Walt has made all of his money. It's not to be a happy story and Skyler insists that Walt admit to a gambling addiction and express deep shame for what he has done. At dinner with Marie and Hank Schrader, they tell their rehearsed story. Hank has a story for Walt however, one of a dead wannabee singer who had lab notes describing a super-processing meth lab. Hank is convinced the dead man is Heisenberg, the drug manufacturer he has been looking for for over a year. Walt tries to warn Jesse and is appalled at his living conditions. Jesse couldn't care less and when Mike gets wind of his attitude, Jesse is taken for a ride into the desert.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Giancarlo Esposito', 'Jonathan Banks', 'David Costabile', 'Jeremy Howard', 'Ray Campbell', 'Frank Andrade', 'Paul Neis', 'Brittany Gustin']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Saul Goodman', ""Gustavo 'Gus' Fring"", 'Mike Ehrmantraut', 'Gale Boetticher', 'Sketchy', 'Tyrus Kitt', 'Tweaker Thief', 'Support Group Leader', 'Morning After Girl']"
